1,19,100,515,1,2017-10-17 00:00:00,6,1,Standard,Poolside,10,100,100,660,10,0,650,\N
2,135,100,94,1,2017-11-12 00:00:00,7,1,Standard,Poolside,10,100,150,1120,\N,\N,1120,\N
3,430,100,225,1,2017-10-30 00:00:00,7,1,Standard,Poolside,10,100,100,770,\N,\N,770,\N
4,157,101,87,1,2017-10-26 00:00:00,1,1,Standard,Poolside,10,100,100,110,\N,\N,110,\N
5,618,101,65,1,2017-10-18 00:00:00,4,1,Standard,Poolside,10,100,100,440,\N,\N,440,\N
6,981,101,365,1,2017-11-05 00:00:00,3,1,Standard,Poolside,10,100,150,480,10,0,470,\N
7,1,102,767,1,2017-11-10 00:00:00,4,1,Standard,Poolside,10,100,150,640,\N,\N,640,\N
8,53,102,199,1,2017-10-24 00:00:00,1,1,Standard,Poolside,10,100,100,110,10,0,100,\N
9,442,102,175,1,2017-11-08 00:00:00,7,1,Standard,Poolside,10,100,150,1120,\N,\N,1120,\N
10,539,102,497,1,2017-11-02 00:00:00,4,1,Standard,Poolside,10,100,150,640,\N,\N,640,\N
11,87,103,1000,1,2017-11-03 00:00:00,1,1,Standard,Poolside,10,100,150,160,\N,\N,160,\N
12,769,103,152,1,2017-10-28 00:00:00,6,1,Standard,Poolside,10,100,100,660,10,0,650,\N
13,762,104,520,1,2017-11-04 00:00:00,3,1,Standard,Poolside,10,100,150,480,\N,\N,480,\N
14,797,104,632,1,2017-10-21 00:00:00,5,1,Standard,Poolside,10,100,100,550,\N,\N,550,\N
15,19,105,515,1,2017-10-17 00:00:00,6,1,Standard,Poolside,10,100,100,660,10,0,650,\N
16,129,106,147,1,2017-10-29 00:00:00,2,1,Standard,Poolside,10,100,100,220,10,0,210,\N
17,511,106,584,1,2017-10-27 00:00:00,1,1,Standard,Poolside,10,100,100,110,\N,\N,110,\N
18,108,107,742,1,2017-10-24 00:00:00,1,1,Standard,Poolside,10,100,100,110,\N,\N,110,\N
19,163,108,630,1,2017-10-22 00:00:00,6,1,Standard,Poolside,10,100,100,660,\N,\N,660,\N
20,19,109,515,1,2017-10-17 00:00:00,6,1,Standard,Poolside,10,100,100,660,10,0,650,\N
21,161,110,556,1,2017-11-07 00:00:00,1,1,Standard,Poolside,10,100,150,160,\N,\N,160,\N
22,441,110,651,1,2017-11-11 00:00:00,1,1,Standard,Poolside,10,100,150,160,\N,\N,160,\N
23,610,110,954,1,2017-10-18 00:00:00,1,1,Standard,Poolside,10,100,100,110,\N,\N,110,\N
24,465,111,502,1,2017-10-24 00:00:00,7,1,Standard,Poolside,10,100,100,770,\N,\N,770,\N
25,795,113,705,1,2017-10-28 00:00:00,1,1,Standard,Poolside,10,100,100,110,\N,\N,110,\N
26,203,114,92,1,2017-11-10 00:00:00,5,1,Standard,Poolside,10,100,150,800,\N,\N,800,\N
27,278,114,613,1,2017-10-24 00:00:00,2,1,Standard,Poolside,10,100,100,220,\N,\N,220,\N
28,903,114,811,1,2017-10-22 00:00:00,7,1,Standard,Poolside,10,100,100,770,10,0,760,\N
29,940,116,841,1,2017-10-31 00:00:00,3,1,Standard,Poolside,10,100,100,330,10,0,320,\N
30,62,118,231,1,2017-10-20 00:00:00,7,1,Standard,Poolside,10,100,100,770,\N,\N,770,\N
31,146,119,386,1,2017-11-06 00:00:00,4,1,Standard,Poolside,10,100,150,640,10,0,630,\N
32,436,119,410,1,2017-10-23 00:00:00,7,1,Standard,Poolside,10,100,100,770,\N,\N,770,\N
33,35,122,543,1,2017-11-05 00:00:00,7,1,Standard,Poolside,10,100,150,1120,\N,\N,1120,\N
34,633,124,75,1,2017-10-25 00:00:00,5,1,Standard,Poolside,10,100,100,550,\N,\N,550,\N
35,121,126,400,1,2017-10-30 00:00:00,2,1,Standard,Poolside,10,100,100,220,\N,\N,220,\N
36,170,128,53,1,2017-10-25 00:00:00,3,1,Standard,Poolside,10,100,100,330,\N,\N,330,\N
37,726,128,575,1,2017-11-03 00:00:00,1,1,Standard,Poolside,10,100,150,160,10,0,150,\N
38,742,128,433,1,2017-11-05 00:00:00,5,1,Standard,Poolside,10,100,150,800,\N,\N,800,\N
39,49,129,84,1,2017-10-18 00:00:00,3,1,Standard,Poolside,10,100,100,330,\N,\N,330,\N
40,102,129,423,1,2017-11-05 00:00:00,4,1,Standard,Poolside,10,100,150,640,\N,\N,640,\N
