ResID	CustID
1,767
2,741
3,884
4,535
5,388
6,475
7,509
8,465
9,510
10,682
11,812
12,546
14,858
15,741
16,477
17,187
18,663
19,515
20,720
21,587
22,138
23,259
24,877
25,357
26,307
27,802
28,755
29,471
30,83
31,826
32,590
33,718
34,86
35,543
36,81
37,458
39,273
40,684
41,15
42,960
43,806
44,615
45,288
46,86
47,638
48,989
49,84
50,43
51,613
52,844
53,199
54,958
55,876
56,57
57,499
58,28
59,824
60,990
61,41
62,231
63,194
64,459
65,788
66,345
67,894
68,542
69,773
70,125
71,369
72,286
73,902
74,393
75,241
76,65
77,445
78,813
79,227
80,448
81,812
82,118
83,744
84,250
85,29
86,571
87,1000
88,861
89,829
90,951
91,463
92,281
93,879
94,348
95,745
96,873
97,143
98,361
99,158
100,949
101,857
102,423
103,17
104,818
105,448
106,891
107,215
108,742
109,730
110,391
111,494
112,168
113,398
114,65
115,220
116,733
117,902
118,656
119,319
120,953
121,400
122,39
123,39
124,871
125,850
126,729
127,515
128,312
129,147
130,396
131,957
132,407
133,812
134,821
135,94
136,407
137,715
138,508
139,543
140,898
141,339
142,306
144,637
145,201
146,386
147,308
149,645
150,838
151,898
152,732
153,483
154,689
155,80
156,562
157,87
158,765
159,658
160,66
161,556
162,267
163,630
164,109
165,742
166,68
167,155
168,251
169,158
170,53
171,866
172,795
173,47
175,885
176,913
178,380
179,103
180,693
181,43
182,238
183,925
184,224
185,729
186,1
187,881
188,599
189,435
190,728
191,686
192,172
193,938
194,520
195,664
196,735
197,447
198,632
199,993
200,509
201,706
202,116
203,92
204,885
205,812
206,751
207,276
208,313
209,806
210,171
211,463
212,231
213,30
214,703
215,620
216,187
217,182
218,279
219,963
220,608
221,99
222,949
223,436
224,43
225,344
226,962
227,939
228,341
229,299
230,2
231,188
232,899
233,403
234,342
235,854
236,215
237,36
238,206
240,443
241,47
242,326
243,366
244,862
245,17
246,606
248,80
250,523
251,96
252,857
253,93
254,959
255,174
256,810
257,342
258,791
259,698
260,261
261,509
262,794
263,921
264,188
265,560
266,693
267,522
268,818
270,831
271,305
272,356
273,324
274,525
276,46
277,13
278,613
279,647
280,403
281,272
282,316
283,301
284,242
285,251
286,918
288,813
289,996
290,283
291,580
294,158
295,363
296,854
297,453
298,945
300,814
301,508
302,215
303,75
304,128
305,949
306,144
307,674
308,938
309,21
310,919
311,968
312,570
313,391
314,963
316,635
317,310
320,530
321,151
322,106
323,115
324,996
325,167
326,848
327,255
328,862
329,721
331,522
332,152
334,31
335,464
336,60
337,573
338,256
339,290
340,32
341,717
342,420
343,399
344,340
345,949
346,271
347,338
348,345
349,599
350,594
351,610
352,948
353,923
354,957
355,92
356,245
357,81
358,457
359,875
361,454
362,466
363,32
364,279
365,151
366,848
367,126
368,769
371,930
372,119
373,91
374,108
375,985
376,468
377,63
378,607
379,626
381,485
382,718
383,73
384,275
385,242
386,739
388,372
389,798
390,707
392,996
393,239
394,374
395,725
396,826
397,628
398,990
400,738
401,556
402,485
403,362
404,302
405,538
406,568
408,975
409,166
410,331
411,66
412,372
413,62
414,631
415,600
416,875
418,281
419,660
420,443
421,879
423,439
424,374
425,491
426,500
427,138
428,781
429,817
430,225
431,201
