1,102,2017-11-10,2017-11-14
2,314,2017-10-28,2017-11-01
3,287,2017-10-21,2017-10-26
4,372,2017-10-19,2017-10-19
5,442,2017-10-27,2017-10-28
6,303,2017-10-18,2017-10-23
7,373,2017-11-09,2017-11-09
8,436,2017-11-07,2017-11-09
9,259,2017-10-27,2017-10-27
10,145,2017-10-28,2017-11-01
11,523,2017-11-13,2017-11-14
12,506,2017-10-24,2017-10-28
14,273,2017-11-10,2017-11-10
15,241,2017-10-30,2017-11-06
16,408,2017-11-09,2017-11-11
17,174,2017-11-13,2017-11-16
18,173,2017-11-11,2017-11-15
19,574,2017-10-17,2017-10-23
20,582,2017-10-18,2017-10-22
21,558,2017-11-12,2017-11-19
22,467,2017-10-26,2017-10-27
23,172,2017-10-26,2017-10-27
24,419,2017-11-08,2017-11-11
25,529,2017-11-02,2017-11-04
26,520,2017-11-02,2017-11-02
27,212,2017-10-30,2017-11-04
28,227,2017-10-19,2017-10-24
29,600,2017-10-31,2017-11-01
30,308,2017-11-03,2017-11-05
31,145,2017-10-26,2017-10-26
32,389,2017-11-06,2017-11-09
33,272,2017-10-21,2017-10-21
34,292,2017-10-30,2017-11-02
35,122,2017-11-05,2017-11-12
36,526,2017-10-20,2017-10-25
37,489,2017-10-30,2017-11-02
39,375,2017-11-01,2017-11-05
40,519,2017-10-25,2017-10-30
41,264,2017-11-09,2017-11-09
42,171,2017-10-27,2017-10-27
43,564,2017-10-21,2017-10-22
44,267,2017-11-05,2017-11-05
45,280,2017-10-17,2017-10-18
46,380,2017-11-06,2017-11-13
47,170,2017-11-13,2017-11-18
48,159,2017-11-01,2017-11-06
49,129,2017-10-18,2017-10-21
50,348,2017-10-30,2017-11-06
51,282,2017-11-08,2017-11-11
52,390,2017-10-20,2017-10-26
53,102,2017-10-24,2017-10-25
54,279,2017-10-17,2017-10-18
55,374,2017-11-05,2017-11-12
56,155,2017-10-22,2017-10-27
57,390,2017-10-31,2017-11-02
58,190,2017-11-09,2017-11-15
59,598,2017-10-25,2017-10-28
60,319,2017-11-07,2017-11-09
61,571,2017-10-23,2017-10-23
62,118,2017-10-20,2017-10-27
63,125,2017-11-09,2017-11-10
64,334,2017-10-30,2017-10-31
